Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
156.225.131.128-10.1.0.4-6693-123-17,156.225.131.128,6693,10.1.0.4,123,17,2023-02-05 23:03:18,29981104,615,4,4920.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,213.2009548414228,20.646337773285467,48513.11326860841,46823.85548150073,381398.0,227.0,29981104.0,48829.15960912056,46823.92915585739,381398.0,5045.0,181841.0,60613.66666666667,104493.1976653664,181272.0,227.0,0,0,0,0,4920,32,20.51292040479897,0.1334173684864973,8.0,440.0,10.322580645161294,29.420671352996205,865.5759028610115,0,0,0,0,0,0,0,0,0.0,10.339256865912764,8.0,368.0,0,0,0,6392,619,213,0,7,0,2,0,0,614,8,0.0,0.0,0.0,0.0,1675638198595203.0,0.0,1675638198595203.0,1675638198595203.0,ddospot
156.225.131.128-10.1.0.4-9576-123-17,156.225.131.128,9576,10.1.0.4,123,17,2023-02-05 23:03:18,29997375,635,4,5080.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,218.4191116722713,21.3018639130924,47017.82915360502,41900.210563990186,296571.0,115.0,29997375.0,47314.47160883282,41873.51365229864,296571.0,5335.0,182950.0,60983.33333333333,105404.53004654654,182694.0,115.0,0,0,0,0,5080,32,21.16851891207148,0.1333450010209226,8.0,440.0,10.250000000000002,28.95941793827944,838.6478873239411,0,0,0,0,0,0,0,0,0.0,10.2660406885759,8.0,368.0,0,0,0,6552,639,218,0,7,0,2,0,0,634,8,0.0,0.0,0.0,0.0,1675638198596560.0,0.0,1675638198596560.0,1675638198596560.0,ddospot
47.91.170.222-10.1.0.4-3996-123-17,47.91.170.222,3996,10.1.0.4,123,17,2023-02-05 23:04:10,30015004,3167,4,25336.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,893.1533042607623,105.6471623325454,9468.455520504722,3349.311771273188,180620.0,274.0,30015004.0,9480.418193303822,3367.759425629112,182125.0,7833.0,182706.0,60902.0,104997.78624809191,182143.0,274.0,0,0,0,0,25336,32,105.51389565032208,0.1332666822233307,8.0,440.0,8.453972257250971,13.031295323978236,169.81465782073707,0,0,0,0,0,0,0,0,0.0,8.456638284452854,8.0,368.0,0,0,0,26808,3171,893,0,7,0,0,0,0,3166,8,0.0,0.0,0.0,0.0,1675638250169556.0,0.0,1675638250169556.0,1675638250169556.0,ddospot
47.91.170.222-10.1.0.4-12647-123-17,47.91.170.222,12647,10.1.0.4,123,17,2023-02-05 23:04:10,30016422,3107,4,24856.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,877.1198645861256,103.64326567636876,9651.582636655949,3734.821053344123,181423.0,30.0,30016422.0,9664.01223438507,3748.641136838411,182728.0,652.0,183724.0,61241.33333333333,105628.2077161841,183210.0,30.0,0,0,0,0,24856,32,103.51000528977104,0.1332603865977097,8.0,440.0,8.462724935732671,13.156204634198364,173.08572037690251,0,0,0,0,0,0,0,0,0.0,8.465445194471231,8.0,368.0,0,0,0,26328,3111,877,0,7,0,0,0,0,3106,8,0.0,0.0,0.0,0.0,1675638250169557.0,0.0,1675638250169557.0,1675638250169557.0,ddospot
47.91.170.222-10.1.0.4-32771-123-17,47.91.170.222,32771,10.1.0.4,123,17,2023-02-05 23:04:10,30012082,2999,4,23992.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,848.4582975616287,100.05970262243054,9997.362425049952,4286.671419093763,179063.0,57.0,30012082.0,10010.70113408941,4319.080209866992,181921.0,4838.0,180601.0,60200.33333333333,104050.0890597088,180347.0,57.0,0,0,0,0,23992,32,99.9264229652578,0.1332796571727346,8.0,440.0,8.47936085219709,13.390392234238629,179.30260418675817,0,0,0,0,0,0,0,0,0.0,8.482184482184483,8.0,368.0,0,0,0,25464,3003,848,0,7,0,0,0,0,2998,8,0.0,0.0,0.0,0.0,1675638250169652.0,0.0,1675638250169652.0,1675638250169652.0,ddospot
47.91.170.222-10.1.0.4-12627-123-17,47.91.170.222,12627,10.1.0.4,123,17,2023-02-05 23:04:10,30015998,3109,4,24872.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,877.6653036823897,103.71136085496808,9645.24357326478,3699.4910105121226,180994.0,33.0,30015998.0,9657.657014157026,3723.177090951762,182813.0,3676.0,183524.0,61174.66666666667,105713.46680689898,183242.0,33.0,0,0,0,0,24872,32,103.57809858596072,0.1332622690073473,8.0,440.0,8.462427745664764,13.15198296736034,172.97465597373647,0,0,0,0,0,0,0,0,0.0,8.465146161259236,8.0,368.0,0,0,0,26344,3113,877,0,7,0,0,0,0,3108,8,0.0,0.0,0.0,0.0,1675638250169650.0,0.0,1675638250169650.0,1675638250169650.0,ddospot
47.91.170.222-10.1.0.4-61265-123-17,47.91.170.222,61265,10.1.0.4,123,17,2023-02-05 23:04:10,30010529,3173,4,25384.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,894.8859248699016,105.8628456699314,9449.159005037778,3337.181124332199,179431.0,104.0,30010529.0,9461.074716267332,3368.1315387344494,181921.0,6379.0,180678.0,60226.0,103872.0634386359,180167.0,104.0,0,0,0,0,25384,32,105.72955911573568,0.1332865541956958,8.0,440.0,8.45311516677158,13.018999144888497,169.49433873460737,0,0,0,0,0,0,0,0,0.0,8.455775889203652,8.0,368.0,0,0,0,26856,3177,894,0,7,0,0,0,0,3172,8,0.0,0.0,0.0,0.0,1675638250169652.0,0.0,1675638250169652.0,1675638250169652.0,ddospot
61.177.172.145-10.1.0.4-37877-22-6,61.177.172.145,37877,10.1.0.4,22,6,2023-02-05 23:04:21,246881,3,4,15.0,74.0,15.0,0.0,5.0,8.660254037844387,74.0,0.0,18.5,37.0,360.497567654052,28.35374127616139,41146.833333333336,99130.56595302312,243481.0,0.0,243552.0,121776.0,172217.27077154603,243552.0,0.0,246810.0,82270.0,139702.23258416454,243575.0,122.0,0,0,0,0,104,136,12.151603404069167,16.202137872092223,0.0,74.0,11.125,25.941899368726705,672.9821428571428,1,2,0,2,6,0,0,0,1.0,12.714285714285714,5.0,18.5,0,0,0,0,0,0,0,2,0,10,29200,509,1,32,0.0,0.0,0.0,0.0,1675638261608369.0,0.0,1675638261608369.0,1675638261608369.0,cowrie
61.177.172.145-10.1.0.4-37877-22-6,61.177.172.145,37877,10.1.0.4,22,6,2023-02-05 23:04:22,162,3,0,880.0,0.0,856.0,0.0,293.33333333333337,487.4313626894902,0.0,0.0,0.0,0.0,5432098.765432099,18518.51851851852,81.0,114.5512985522207,162.0,0.0,162.0,81.0,114.5512985522207,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,0,18518.51851851852,0.0,0.0,856.0,220.0,424.15091653797,179904.0,1,0,0,2,3,0,0,0,0.0,293.3333333333333,293.3333333333333,0.0,0,0,0,0,0,0,1,293,0,0,229,0,2,32,0.0,0.0,0.0,0.0,1675638262099929.0,0.0,1675638262099929.0,1675638262099929.0,cowrie
156.225.131.233-10.1.0.4-54895-123-17,156.225.131.233,54895,10.1.0.4,123,17,2023-02-05 23:04:22,29997715,620,4,4960.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,214.4163313772399,20.80158438734417,48150.42536115576,43652.37418224158,325788.0,32.0,29997715.0,48461.57512116316,43640.91317120064,325788.0,3101.0,183590.0,61196.66666666667,105871.0358187419,183446.0,32.0,0,0,0,0,4960,32,20.668240897681702,0.1333434896624626,8.0,440.0,10.304000000000004,29.303294642805508,858.683076923074,0,0,0,0,0,0,0,0,0.0,10.32051282051282,8.0,368.0,0,0,0,6432,624,214,0,7,0,2,0,0,619,8,0.0,0.0,0.0,0.0,1675638262852277.0,0.0,1675638262852277.0,1675638262852277.0,ddospot
156.225.131.233-10.1.0.4-22045-123-17,156.225.131.233,22045,10.1.0.4,123,17,2023-02-05 23:04:22,29992621,582,4,4656.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,204.31692181887004,19.53813906427184,51269.4376068376,45752.76731087087,359302.0,29.0,29992621.0,51622.41135972462,45746.81770878157,359302.0,111.0,179017.0,59672.33333333333,103216.96167458784,178857.0,29.0,0,0,0,0,4656,32,19.404772927314355,0.1333661369574869,8.0,440.0,10.453151618398644,30.23241772249248,913.9990813472772,0,0,0,0,0,0,0,0,0.0,10.47098976109215,8.0,368.0,0,0,0,6128,586,204,0,7,0,2,0,0,581,8,0.0,0.0,0.0,0.0,1675638262852308.0,0.0,1675638262852308.0,1675638262852308.0,ddospot
156.225.131.233-10.1.0.4-16554-123-17,156.225.131.233,16554,10.1.0.4,123,17,2023-02-05 23:04:22,29999960,559,4,4472.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,198.1335975114633,18.76669168892225,53380.71174377223,51955.0938574699,356874.0,33.0,29999960.0,53763.369175627246,51974.38202170862,356874.0,2531.0,180409.0,60136.33333333333,104037.94773703167,180269.0,33.0,0,0,0,0,4472,32,18.6333581778109,0.1333335111113481,8.0,440.0,10.553191489361708,30.83962423877506,951.082423188842,0,0,0,0,0,0,0,0,0.0,10.571936056838366,8.0,368.0,0,0,0,5944,563,198,0,7,0,2,0,0,558,8,0.0,0.0,0.0,0.0,1675638262852402.0,0.0,1675638262852402.0,1675638262852402.0,ddospot
10.1.0.4-61.177.172.145-22-37877-6,10.1.0.4,22,61.177.172.145,37877,6,2023-02-05 23:04:22,9,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222222.22222222225,9.0,0.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,222222.22222222225,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,1675638262100149.0,0.0,1675638262100149.0,1675638262100149.0,cowrie
156.225.131.233-10.1.0.4-51318-123-17,156.225.131.233,51318,10.1.0.4,123,17,2023-02-05 23:04:22,29857229,618,4,4944.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,214.8893321614005,20.832475779986147,48079.27375201295,44538.02755369087,280892.0,115.0,29857229.0,48390.97082658015,44544.12940253371,280892.0,3676.0,182368.0,60789.33333333333,103328.5096879527,180097.0,115.0,0,0,0,0,4944,32,20.698504874648616,0.1339709053375314,8.0,440.0,10.311396468699844,29.35007652627475,861.4269920981841,0,0,0,0,0,0,0,0,0.0,10.327974276527332,8.0,368.0,0,0,0,6416,622,214,0,7,0,2,0,0,617,8,0.0,0.0,0.0,0.0,1675638262852277.0,0.0,1675638262852277.0,1675638262852277.0,ddospot
156.225.131.233-10.1.0.4-16964-123-17,156.225.131.233,16964,10.1.0.4,123,17,2023-02-05 23:04:22,30016284,642,4,5136.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,220.147170782366,21.521651380963743,46536.8744186046,43229.120502114994,292828.0,35.0,30016284.0,46827.27613104528,43227.88776158648,292828.0,1822.0,179894.0,59964.66666666667,103693.85893259702,179700.0,35.0,0,0,0,0,5136,32,21.388390381700813,0.1332609992629334,8.0,440.0,10.225656877897997,28.80303169500147,829.6146348232592,0,0,0,0,0,0,0,0,0.0,10.241486068111454,8.0,368.0,0,0,0,6608,646,220,0,7,0,2,0,0,641,8,0.0,0.0,0.0,0.0,1675638262852338.0,0.0,1675638262852338.0,1675638262852338.0,ddospot
61.177.172.145-10.1.0.4-52627-22-6,61.177.172.145,52627,10.1.0.4,22,6,2023-02-05 23:05:22,531763,3,4,15.0,74.0,15.0,0.0,5.0,8.660254037844387,74.0,0.0,18.5,37.0,167.36779354712533,13.163759043032329,88627.16666666666,215923.4848861204,529377.0,96.0,529620.0,264810.0,374340.9157465959,529509.0,111.0,531631.0,177210.3333333333,305280.9425010565,529717.0,96.0,0,0,0,0,104,136,5.641611018442426,7.522148024589902,0.0,74.0,11.125,25.941899368726705,672.9821428571428,1,2,0,2,6,0,0,0,1.0,12.714285714285714,5.0,18.5,0,0,0,0,0,0,0,2,0,10,29200,509,1,32,0.0,0.0,0.0,0.0,1675638322501984.0,0.0,1675638322501984.0,1675638322501984.0,cowrie
61.177.172.145-10.1.0.4-52627-22-6,61.177.172.145,52627,10.1.0.4,22,6,2023-02-05 23:05:23,424,3,1,880.0,0.0,856.0,0.0,293.33333333333337,487.4313626894902,0.0,0.0,0.0,0.0,2075471.698113208,9433.962264150943,141.33333333333334,66.16141876753652,210.0,78.0,424.0,212.0,2.8284271247461903,214.0,210.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,20,7075.471698113208,2358.490566037736,0.0,856.0,176.0,380.2735857248042,144608.0,1,0,1,2,3,0,0,0,0.0,220.0,293.3333333333333,0.0,0,0,0,0,0,0,0,220,0,0,229,0,2,32,0.0,0.0,0.0,0.0,1675638323578338.0,0.0,1675638323578338.0,1675638323578338.0,cowrie
209.99.40.222-10.1.0.4-62321-123-17,209.99.40.222,62321,10.1.0.4,123,17,2023-02-05 23:06:17,30014947,3115,4,24920.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,879.2952391353548,103.91489280324234,9626.346055163562,3725.120346636085,181856.0,34.0,30014947.0,9638.71130378933,3745.051611729005,183740.0,5451.0,183498.0,61166.0,105410.36888750557,182883.0,34.0,0,0,0,0,24920,32,103.7816258679384,0.1332669353039337,8.0,440.0,8.461538461538485,13.139342309425738,172.64231632426527,0,0,0,0,0,0,0,0,0.0,8.464251362616222,8.0,368.0,0,0,0,26392,3119,879,0,7,0,0,0,0,3114,8,0.0,0.0,0.0,0.0,1675638377817352.0,0.0,1675638377817352.0,1675638377817352.0,ddospot
209.99.40.222-10.1.0.4-14244-123-17,209.99.40.222,14244,10.1.0.4,123,17,2023-02-05 23:06:17,30016199,3103,4,24824.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,876.0602899787544,103.5107742989044,9663.94043786219,3649.146506083334,176081.0,285.0,30016199.0,9676.401998710546,3732.796893926657,182038.0,5067.0,180346.0,60115.33333333333,101354.90407638565,177140.0,285.0,0,0,0,0,24824,32,103.3775129222724,0.1332613766319979,8.0,440.0,8.463320463320485,13.164660178277767,173.30827760953244,0,0,0,0,0,0,0,0,0.0,8.46604441583521,8.0,368.0,0,0,0,26296,3107,876,0,7,0,0,0,0,3102,8,0.0,0.0,0.0,0.0,1675638377817353.0,0.0,1675638377817353.0,1675638377817353.0,ddospot
209.99.40.222-10.1.0.4-65054-123-17,209.99.40.222,65054,10.1.0.4,123,17,2023-02-05 23:06:17,30010713,3106,4,24848.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,877.020149437969,103.6296605148968,9652.850755870028,3689.190255188838,180725.0,227.0,30010713.0,9665.285990338152,3698.3395839879936,181821.0,5157.0,182433.0,60811.0,104627.27767174297,181624.0,227.0,0,0,0,0,24848,32,103.49637477790014,0.1332857369966518,8.0,440.0,8.46287367405981,13.158316992692406,173.1413060801777,0,0,0,0,0,0,0,0,0.0,8.465594855305467,8.0,368.0,0,0,0,26320,3110,877,0,7,0,0,0,0,3105,8,0.0,0.0,0.0,0.0,1675638377817353.0,0.0,1675638377817353.0,1675638377817353.0,ddospot
209.99.40.222-10.1.0.4-30804-123-17,209.99.40.222,30804,10.1.0.4,123,17,2023-02-05 23:06:17,30018656,3173,4,25384.0,1472.0,8.0,8.0,8.0,0.0,440.0,296.0,368.0,83.13843876330611,894.6436509349386,105.83418524800044,9451.717884131,3355.6760029249017,180438.0,61.0,30018656.0,9463.6368221942,3380.47368375952,182377.0,5438.0,182079.0,60693.0,104803.0036210795,181709.0,61.0,0,0,0,0,25384,32,105.70093477869229,0.1332504693081529,8.0,440.0,8.45311516677158,13.018999144888497,169.49433873460737,0,0,0,0,0,0,0,0,0.0,8.455775889203652,8.0,368.0,0,0,0,26856,3177,894,0,7,0,0,0,0,3172,8,0.0,0.0,0.0,0.0,1675638377817353.0,0.0,1675638377817353.0,1675638377817353.0,ddospot
